Name;ISIN;Symbol;Market;Source;Notes
VALLOUREC BSA 21;FR00140030K7;VKBS;Euronext Paris;euronext_regulated_list;
VALNEVA;FR0004056851;VLA;Euronext Paris;euronext_regulated_list;
VANTIVA;FR0013505062;VANTI;Euronext Paris;euronext_regulated_list;
VEOLIA ENVIRON.;FR0000124141;VIE;Euronext Paris;euronext_regulated_list;
VERALLIA;FR0013447729;VRLA;Euronext Paris;euronext_regulated_list;
VERIMATRIX;FR0010291245;VMX;Euronext Paris;euronext_regulated_list;
VETOQUINOL;FR0004186856;VETO;Euronext Paris;euronext_regulated_list;
VICAT;FR0000031775;VCT;Euronext Paris;euronext_regulated_list;
VIEL ET COMPAGNIE;FR0000050049;VIL;Euronext Paris;euronext_regulated_list;
VINCI;FR0000125486;DG;Euronext Paris;euronext_regulated_list;
VIRBAC;FR0000031577;VIRP;Euronext Paris;euronext_regulated_list;
VIRIDIEN;FR001400PVN6;VIRI;Euronext Paris;euronext_regulated_list;
VITURA;FR0010309096;VTR;Euronext Paris;euronext_regulated_list;
VIVENDI SE;FR0000127771;VIV;Euronext Paris;euronext_regulated_list;
VOLTALIA;FR0011995588;VLTSA;Euronext Paris;euronext_regulated_list;
Vusion;FR0010282822;VU;Euronext Paris;euronext_regulated_list;
WAGA ENERGY;FR0012532810;WAGA;Euronext Paris;euronext_regulated_list;
WAVESTONE;FR0013357621;WAVE;Euronext Paris;euronext_regulated_list;
WENDEL;FR0000121204;MF;Euronext Paris;euronext_regulated_list;
WORLDLINE;FR00140182K6;WLN;Euronext Paris;euronext_regulated_list;
X-FAB;BE0974310428;XFAB;Euronext Paris;euronext_regulated_list;
YOUNITED FIN. WARR;LU2999660207;YOUNW;Euronext Paris;euronext_regulated_list;
YOUNITED FINANCIAL;LU2999653251;YOUNI;Euronext Paris;euronext_regulated_list;
ZCI LIMITED;BMG9887P1068;CV;Euronext Paris;euronext_regulated_list;
